Pincodes,location_risk_weight,location_band,District/City, GEO_Portfolio_PL_Index 
581304,5,3,Uttara Kannada,0.432122671
581308,3,2,Uttara Kannada,0.257806875
581314,15,9,Uttara Kannada,1.607588341
581320,20,10,Uttara Kannada,2.446653619
581324,2,1,Uttara Kannada,0.132201792
581325,20,10,Uttara Kannada,3.287205781
581329,20,10,Uttara Kannada,3.509539083
581334,20,10,Uttara Kannada,3.797104412
581343,10,8,Uttara Kannada,1.352029611
581349,20,10,Uttara Kannada,3.143626259
581352,8,7,Uttara Kannada,1.012283521
581355,10,8,Uttara Kannada,1.491800926
581359,7,6,Uttara Kannada,0.97977181
581400,3,2,Uttara Kannada,0.354832184
581401,7,6,Uttara Kannada,0.98155364
581402,10,8,Uttara Kannada,1.318931183
582101,8,7,Gadag,0.983743566
582102,8,7,Gadag,1.022807071
582103,15,9,Gadag,1.81653056
582112,15,9,Gadag,1.958294811
582113,5,3,Gadag,0.509658908
582114,20,10,Gadag,3.137838444
582115,6,4,Gadag,0.58482514
582116,6,4,Gadag,0.583514535
582118,20,10,Gadag,3.283031746
582120,15,9,Gadag,1.961523136
582201,6,4,Dharwad,0.594948229
582205,6,4,Gadag,0.729505724
582207,6,4,Gadag,0.801037147
582208,8,7,Dharwad,1.048976611
582209,10,8,Gadag,1.438995692
583101,20,10,Bellary,2.601125012
583102,7,6,Bellary,0.949978976
583103,20,10,Bellary,3.917805914
583104,10,8,Bellary,1.43138553
583115,20,10,Bellary,3.716049347
583117,20,10,Bellary,5.538429609
583118,2,1,Bellary,0.060474757
583119,20,10,Bellary,2.296633763
583121,15,9,Bellary,2.022758315
583123,5,3,Bellary,0.478391305
583125,15,9,Davangere,1.893957276
583131,20,10,Davangere,2.635007864
583132,15,9,Bellary,1.515937554
583134,20,10,Bellary,7.879224238
583135,20,10,Bellary,7.126564338
583201,10,8,Bellary,1.457867546
583212,20,10,Bellary,3.903494639
583219,20,10,Bellary,5.162228782
583221,3,2,Bellary,0.240581211
583222,6,4,Bellary,0.603560049
583225,6,4,Bellary,0.604995563
583227,20,10,Koppal,2.565934078
583228,15,9,Koppal,1.559367787
583229,7,6,Koppal,0.868220841
583231,20,10,Koppal,3.472360961
583233,20,10,Gadag,3.529398742
