pincode,city,state,Tier,ExtraPricing
827009,Bokaro,Jharkhand,Tier4,2
827010,Bokaro,Jharkhand,Tier4,2
827011,Bokaro,Jharkhand,Tier4,2
827012,Bokaro,Jharkhand,Tier4,2
827013,Bokaro,Jharkhand,Tier4,2
827014,Bokaro,Jharkhand,Tier4,2
827302,Bokaro,Jharkhand,Tier4,2
827611,Bokaro,Jharkhand,Tier4,2
828101,Dhanbad,Jharkhand,Tier4,2
828103,Dhanbad,Jharkhand,Tier4,2
828104,Dhanbad,Jharkhand,Tier4,2
828105,Dhanbad,Jharkhand,Tier4,2
828106,Dhanbad,Jharkhand,Tier4,2
828107,Dhanbad,Jharkhand,Tier4,2
828108,Dhanbad,Jharkhand,Tier4,2
828109,Dhanbad,Jharkhand,Tier4,2
828110,Dhanbad,Jharkhand,Tier4,2
828111,Dhanbad,Jharkhand,Tier4,2
828112,Dhanbad,Jharkhand,Tier4,2
828113,Dhanbad,Jharkhand,Tier4,2
828114,Dhanbad,Jharkhand,Tier4,2
828115,Dhanbad,Jharkhand,Tier4,2
828116,Dhanbad,Jharkhand,Tier4,2
828117,Dhanbad,Jharkhand,Tier4,2
828119,Dhanbad,Jharkhand,Tier4,2
828120,Dhanbad,Jharkhand,Tier4,2
828121,Dhanbad,Jharkhand,Tier4,2
828122,Dhanbad,Jharkhand,Tier4,2
828123,Dhanbad,Jharkhand,Tier4,2
828125,Bokaro,Jharkhand,Tier4,2
828126,Dhanbad,Jharkhand,Tier4,2
828127,Dhanbad,Jharkhand,Tier4,2
828128,Dhanbad,Jharkhand,Tier4,2
828129,Dhanbad,Jharkhand,Tier4,2
828130,Dhanbad,Jharkhand,Tier4,2
828131,Dhanbad,Jharkhand,Tier4,2
828132,Dhanbad,Jharkhand,Tier4,2
828133,Dhanbad,Jharkhand,Tier4,2
828134,Dhanbad,Jharkhand,Tier4,2
828135,Dhanbad,Jharkhand,Tier4,2
828201,Dhanbad,Jharkhand,Tier4,2
828202,Dhanbad,Jharkhand,Tier4,2
828203,Dhanbad,Jharkhand,Tier4,2
828204,Dhanbad,Jharkhand,Tier4,2
828205,Dhanbad,Jharkhand,Tier4,2
